Category,Summary,Start,End,Duration (hours)
14,14🍽️Cooking,2024-12-04T19:15:00+01:00,2024-12-04T19:30:00+01:00,0.25
14,14 🪥 Brush,2024-12-05T09:45:00+01:00,2024-12-05T10:00:00+01:00,0.25
14,14🍳Breakfast & 🍴 Dinner Preps,2024-12-05T12:30:00+01:00,2024-12-05T13:00:00+01:00,0.5
14,14 👚 Clothes,2024-12-05T17:00:00+01:00,2024-12-05T17:15:00+01:00,0.25
14,14🍽️Cooking,2024-12-05T17:15:00+01:00,2024-12-05T17:45:00+01:00,0.5
14,14🚿Brush,2024-12-06T07:45:00+01:00,2024-12-06T08:15:00+01:00,0.5
14,14 🍛 Eating,2024-12-06T13:00:00+01:00,2024-12-06T14:00:00+01:00,1.0
14,14🍳Breakfast & 🍴 Dinner Preps,2024-12-06T22:15:00+01:00,2024-12-06T23:45:00+01:00,1.5
14,14🚿Brush Bath and Breakfast,2024-12-07T12:30:00+01:00,2024-12-07T13:00:00+01:00,0.5
14,14 🍛 Eating,2024-12-07T18:00:00+01:00,2024-12-07T18:30:00+01:00,0.5
14,14 🛁Bath,2024-12-08T00:15:00+01:00,2024-12-08T00:30:00+01:00,0.25
14,14 🍛 Eating,2024-12-08T11:00:00+01:00,2024-12-08T11:15:00+01:00,0.25
14,14 🍛 Eating,2024-12-08T13:45:00+01:00,2024-12-08T14:15:00+01:00,0.5
14,14🍽️Cooking,2024-12-08T19:00:00+01:00,2024-12-08T19:30:00+01:00,0.5
14,14🍽️Cooking,2024-12-08T20:00:00+01:00,2024-12-08T21:30:00+01:00,1.5
14,14🍳Quicky Breakfast,2024-12-09T12:45:00+01:00,2024-12-09T13:00:00+01:00,0.25
14,14🍽️Cooking,2024-12-09T21:45:00+01:00,2024-12-09T22:45:00+01:00,1.0
14,14🚿Bath and Brush,2024-12-10T10:30:00+01:00,2024-12-10T11:00:00+01:00,0.5
14,14🍳Breakfast & 🍴 Dinner Preps,2024-12-10T13:00:00+01:00,2024-12-10T13:30:00+01:00,0.5
14,14🍳Breakfast & 🍴 Dinner Preps,2024-12-10T18:30:00+01:00,2024-12-10T19:00:00+01:00,0.5
14,"14🦷Brush, 🚿Bath",2024-12-11T05:45:00+01:00,2024-12-11T06:15:00+01:00,0.5
14,14🍳Breakfast & 🍴 Dinner Preps,2024-12-11T12:00:00+01:00,2024-12-11T13:15:00+01:00,1.25
14,14🍽️Cooking,2024-12-11T18:30:00+01:00,2024-12-11T19:45:00+01:00,1.25
